frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m
271,1,1,0.964,1.000,-0.1050
272,1,1,0.961,1.000,-0.1047
273,1,1,0.959,1.000,-0.1071
274,1,1,0.897,1.000,-0.1106
275,1,1,0.848,1.000,-0.1134
276,1,1,0.808,1.000,-0.1135
277,1,1,0.777,1.000,-0.1136
278,1,1,0.751,1.000,-0.1158
279,1,1,0.731,1.000,-0.1175
280,1,1,0.715,1.000,-0.1168
281,0,1,0.572,1.000,-0.0839
282,0,1,0.457,1.000,-0.0512
283,0,1,0.366,1.000,-0.0283
284,0,1,0.293,1.000,-0.0099
285,0,1,0.234,1.000,0.0048
286,0,1,0.187,1.000,0.0166
287,0,1,0.150,1.000,0.0260
288,0,1,0.120,1.000,0.0335
289,0,1,0.096,1.000,0.0363
290,0,1,0.077,1.000,0.0386
291,0,1,0.061,1.000,0.0404
292,0,1,0.049,1.000,0.0366
293,0,1,0.039,1.000,0.0335
294,0,1,0.031,1.000,0.0395
295,0,1,0.025,1.000,0.0443
296,0,1,0.020,1.000,0.0429
297,0,1,0.016,1.000,0.0439
298,0,1,0.013,1.000,0.0446
299,0,1,0.010,1.000,0.0463
300,0,1,0.008,1.000,0.0540
301,0,1,0.007,1.000,0.0517
302,0,1,0.005,1.000,0.0551
303,0,1,0.004,1.000,0.0483
304,0,1,0.003,1.000,0.0514
305,0,1,0.003,1.000,0.0538
306,0,1,0.162,1.000,0.0330
307,0,1,0.290,1.000,0.0163
308,0,1,0.392,1.000,0.0014
309,0,1,0.473,1.000,-0.0105
310,0,1,0.539,1.000,-0.0217
311,0,1,0.591,1.000,-0.0306
312,1,1,0.633,1.000,-0.0367
313,1,1,0.636,1.000,-0.0336
314,1,1,0.639,1.000,-0.0311
315,0,1,0.511,1.000,-0.0100
316,0,1,0.409,1.000,0.0079
317,0,1,0.327,1.000,0.0201
318,0,1,0.262,1.000,0.0298
319,0,1,0.209,1.000,0.0355
320,0,1,0.168,1.000,0.0401
321,0,1,0.134,1.000,0.0437
322,0,1,0.107,1.000,0.0488
323,0,1,0.086,1.000,0.0528
324,0,1,0.069,1.000,0.0571
325,0,1,0.055,1.000,0.0605
326,0,1,0.044,1.000,0.0601
327,0,1,0.035,1.000,0.0639
328,0,1,0.028,1.000,0.0671
329,0,1,0.022,1.000,0.0664
330,0,1,0.018,1.000,0.0658
331,0,1,0.014,1.000,0.0622
332,0,1,0.012,1.000,0.0593
333,0,1,0.009,1.000,0.0591
334,0,1,0.007,1.000,0.0589
335,0,1,0.006,1.000,0.0609
336,0,1,0.005,1.000,0.0583
337,0,1,0.004,1.000,0.0615
338,0,1,0.003,1.000,0.0630
339,0,1,0.002,1.000,0.0641
340,0,1,0.132,1.000,0.0450
341,0,1,0.236,1.000,0.0296
342,0,1,0.318,1.000,0.0147
343,0,1,0.255,1.000,0.0234
344,0,1,0.204,1.000,0.0304
345,0,1,0.163,1.000,0.0381
346,0,1,0.130,1.000,0.0442
347,0,1,0.104,1.000,0.0502
348,0,1,0.083,1.000,0.0550
349,0,1,0.067,1.000,0.0567
350,0,1,0.053,1.000,0.0613
351,0,1,0.043,1.000,0.0649
352,0,1,0.034,1.000,0.0678
353,0,1,0.027,1.000,0.0702
354,0,1,0.022,1.000,0.0710
355,0,1,0.018,1.000,0.0716
356,0,1,0.014,1.000,0.0711
357,0,1,0.011,1.000,0.0706
358,0,1,0.009,1.000,0.0724
359,0,1,0.007,1.000,0.0717
360,0,1,0.006,1.000,0.0712
361,0,1,0.005,1.000,0.0718
362,0,1,0.004,1.000,0.0722
363,0,1,0.003,1.000,0.0726
364,0,1,0.002,1.000,0.0730
365,0,1,0.002,1.000,0.0690
366,0,1,0.002,1.000,0.0700
367,0,1,0.001,1.000,0.0708
368,0,1,0.001,1.000,0.0747
369,0,1,0.001,1.000,0.0778
370,0,1,0.001,1.000,0.0739
371,0,1,0.000,1.000,0.0708
372,0,1,0.130,1.000,0.0359
373,0,1,0.234,1.000,0.0086
374,0,1,0.317,1.000,-0.0132
375,0,1,0.254,1.000,0.0021
376,0,1,0.203,1.000,0.0144
377,0,1,0.163,1.000,0.0243
378,0,1,0.130,1.000,0.0321
379,0,1,0.104,1.000,0.0374
380,0,1,0.083,1.000,0.0415
381,0,1,0.067,1.000,0.0417
382,0,1,0.053,1.000,0.0419
383,0,1,0.043,1.000,0.0420
384,0,1,0.034,1.000,0.0399
385,0,1,0.027,1.000,0.0383
386,0,1,0.022,1.000,0.0381
387,0,1,0.017,1.000,0.0368
388,0,1,0.014,1.000,0.0400
389,0,1,0.011,1.000,0.0395
390,0,1,0.009,1.000,0.0411
391,0,1,0.007,1.000,0.0445
392,0,1,0.006,1.000,0.0473
393,0,1,0.005,1.000,0.0421
394,0,1,0.004,1.000,0.0421
395,0,1,0.003,1.000,0.0401
396,0,1,0.002,1.000,0.0405
397,0,1,0.002,1.000,0.0409
398,0,1,0.001,1.000,0.0380
399,0,1,0.001,1.000,0.0357
400,0,1,0.001,1.000,0.0339
401,0,1,0.001,1.000,0.0324
402,0,1,0.001,1.000,0.0270
403,0,1,0.000,1.000,0.0216
404,0,1,0.000,1.000,0.0130
405,0,1,0.130,1.000,-0.0124
406,0,1,0.234,1.000,-0.0322
407,0,1,0.317,1.000,-0.0469
408,0,1,0.384,1.000,-0.0587
409,0,1,0.437,1.000,-0.0698
410,0,1,0.480,1.000,-0.0786
411,0,1,0.514,1.000,-0.0857
412,0,1,0.411,1.000,-0.0717
413,0,1,0.329,1.000,-0.0606
414,0,1,0.263,1.000,-0.0527
415,0,1,0.210,1.000,-0.0464
416,0,1,0.168,1.000,-0.0424
417,0,1,0.135,1.000,-0.0392
418,0,1,0.108,1.000,-0.0367
419,0,1,0.086,1.000,-0.0346
420,0,1,0.069,1.000,-0.0351
421,0,1,0.055,1.000,-0.0408
422,0,1,0.044,1.000,-0.0454
